vocab_id,merge_key,kana,kanji,jlpt_level,jlpt_numeric,english_definitions_json,sources_json,genki_chapters_json,jmdict_seq_json,mapping_methods_json,matched_on_json
149,いしぶみ||碑,いしぶみ,碑,N1,1,"[""stone monument bearing an inscription""]","[""jlpt_n1""]",[],[1702990],"[""jlpt_source""]",[]
150,いしょう||衣装,いしょう,衣装,N1,1,"[""clothing, costume, outfit, garment, dress""]","[""jlpt_n1""]",[],[1158760],"[""jlpt_source""]",[]
151,いじ||意地,いじ,意地,N1,1,"[""disposition, spirit, willpower, obstinacy, backbone, appetite""]","[""jlpt_n1""]",[],[1156720],"[""jlpt_source""]",[]
152,いじめる||苛める,いじめる,苛める,N1,1,"[""to tease, to torment, to persecute, to chastise""]","[""jlpt_n1""]",[],[1195140],"[""jlpt_source""]",[]
153,いじゅう||移住,いじゅう,移住,N1,1,"[""migration, immigration""]","[""jlpt_n1""]",[],[1158280],"[""jlpt_source""]",[]
154,いじる||弄る,いじる,弄る,N1,1,"[""to touch, to tamper with""]","[""jlpt_n1""]",[],[1560700],"[""jlpt_source""]",[]
155,いずれ||何れ,いずれ,何れ,N1,1,"[""where, which, who, anyway, anyhow, at any rate""]","[""jlpt_n1""]",[],[1566210],"[""jlpt_source""]",[]
156,いせい||異性,いせい,異性,N1,1,"[""the opposite sex""]","[""jlpt_n1""]",[],[1157860],"[""jlpt_source""]",[]
157,いせき||遺跡,いせき,遺跡,N1,1,"[""historic ruins (remains relics)""]","[""jlpt_n1""]",[],[1159380],"[""jlpt_source""]",[]
158,いぜん||依然,いぜん,依然,N1,1,"[""still, as yet""]","[""jlpt_n1""]",[],[1155650],"[""jlpt_source""]",[]
159,いそん||依存,いそん,依存,N1,1,"[""dependence, dependent, reliance""]","[""jlpt_n1""]",[],[1575870],"[""jlpt_source""]",[]
160,いたく||委託,いたく,委託,N1,1,"[""consign (goods (for sale) to a firm), entrust (person with something), commit""]","[""jlpt_n1""]",[],[1156160],"[""jlpt_source""]",[]
161,いただき||頂,いただき,頂,N1,1,"[""(top of) head, summit, spire""]","[""jlpt_n1""]",[],[1430200],"[""jlpt_source""]",[]
162,いただきます||戴きます,いただきます,戴きます,N1,1,"[""expression of gratitude before meals""]","[""jlpt_n1""]",[],[1410800],"[""jlpt_source""]",[]
163,いたって||至って,いたって,至って,N1,1,"[""very much, exceedingly, extremely""]","[""jlpt_n1""]",[],[1311850],"[""jlpt_source""]",[]
164,いたむ||痛む,いたむ,痛む,N1,1,"[""to hurt, to feel a pain, to be injured""]","[""jlpt_n1""]",[],[1432710],"[""jlpt_source""]",[]
165,いためる||炒める,いためる,炒める,N1,1,"[""to stir-fry""]","[""jlpt_n1""]",[],[1568920],"[""jlpt_source""]",[]
166,いためる||痛める,いためる,痛める,N1,1,"[""to hurt, to injure, to cause pain, to worry, to bother, to afflict, to be grieved over""]","[""jlpt_n1""]",[],[1432720],"[""jlpt_source""]",[]
167,いたわる||労る,いたわる,労る,N1,1,"[""to pity, to sympathize with, to console, to care for, to be kind to""]","[""jlpt_n1""]",[],[1560240],"[""jlpt_source""]",[]
168,いち||位地,いち,位地,N1,1,"[""place, situation, position, location""]","[""jlpt_n1""]",[],[1587310],"[""jlpt_source""]",[]
169,いちいち||一々,いちいち,一々,N1,1,"[""one by one, separately""]","[""jlpt_n1""]",[],[1587320],"[""jlpt_source""]",[]
170,いちがいに||一概に,いちがいに,一概に,N1,1,"[""unconditionally, as a rule""]","[""jlpt_n1""]",[],[1161390],"[""jlpt_source""]",[]
171,いちげん||一見,いちげん,一見,N1,1,"[""unfamiliar, never before met""]","[""jlpt_n1""]",[],[1727890],"[""jlpt_source""]",[]
172,いちげん||一言,いちげん,一言,N1,1,"[""single word""]","[""jlpt_n1""]",[],[1575990],"[""jlpt_source""]",[]
173,いちじつ||一日,いちじつ,一日,N1,1,"[""1. one day, 2. first of month""]","[""jlpt_n1""]",[],[1576260],"[""jlpt_source""]",[]
174,いちじょう||一定,いちじょう,一定,N1,1,"[""fixed, settled, definite, uniform, regularized, defined, standardized, certain, prescribed""]","[""jlpt_n1""]",[],[2859332],"[""jlpt_source""]",[]
175,いちじるしい||著しい,いちじるしい,著しい,N1,1,"[""remarkable, considerable""]","[""jlpt_n1""]",[],[1427070],"[""jlpt_source""]",[]
